k_over_h,P
3.3333333333333335e-5,662.1534964976328
3.3797513585293836e-5,671.0020181071814
3.426815773644364e-5,679.9687578605018
3.474535579921339e-5,689.0552940643845
3.5229199039493476e-5,698.2632260512763
3.571977999408904e-5,707.5941744574831
3.6217192488417935e-5,717.0497815049652
3.6721531654455225e-5,726.6317112868066
3.723289394892744e-5,736.3416500563369
3.775137717176039e-5,746.1813065200147
3.82770804847837e-5,756.1524121340994
3.881010443069589e-5,766.2567214051119
3.9350550952293514e-5,776.4960121941942
3.989852341196812e-5,786.8720860253786
4.04541266114747e-5,797.38676839781
4.10174668119754e-5,808.0419091020053
4.1588651754362335e-5,818.8393825401041
4.216779067986346e-5,829.7810880503044
4.2754994350935355e-5,840.8689502353953
4.335037507244697e-5,852.104919295493
4.3954046713158284e-5,863.4909713650413
4.456612472749823e-5,875.0291088541062
4.518672617764562e-5,886.7213607939757
4.5815969755917916e-5,898.5697831872232
4.645397580747142e-5,910.5764593621352
4.7100866353317793e-5,922.7435003317169
4.7756765113661035e-5,935.0730451571353
4.8421797531559364e-5,947.5672613158979
4.909609079691676e-5,960.2283450745117
4.977977387080841e-5,973.0585218659612
5.047297751014509e-5,986.0600466718868
5.1175834292680754e-5,999.2352044096001
5.188847864236872e-5,1012.5863103238195
5.261104685507057e-5,1026.11571038353
5.3343677124623354e-5,1039.8257816835596
5.408650956926958e-5,1053.718932851336
5.483968625845542e-5,1067.797604458619
5.5603351240001964e-5,1082.0642694383685
5.6377650567654936e-5,1096.5214335067521
5.7162732329018003e-5,1111.1716355903957
5.795874667387503e-5,1126.0174482589216
5.876584584290687e-5,1141.0614781627273
5.9584184196807835e-5,1156.3063664762162
6.04139182458079e-5,1171.754789346457
6.125520667960572e-5,1187.4094583472443
6.210821039771868e-5,1203.2731209387937
6.297309254025555e-5,1219.3485609329207
6.385001851911759e-5,1235.638598963964
6.47391560496342e-5,1252.1460929652967
6.564067518263909e-5,1268.8739386516488
6.655474833699314e-5,1285.825070007192
6.748155033256014e-5,1303.0024597795054
6.842125842364173e-5,1320.4091199793136
6.937405233287797e-5,1338.0481023864081
7.034011428561985e-5,1355.9224990613254
7.131962904478074e-5,1374.035442863214
7.231278394617281e-5,1392.3901079737457
7.331976893433582e-5,1410.9897104271595
7.434077659886461e-5,1429.837508646589
7.537600221124261e-5,1448.9368039865296
7.642564376218832e-5,1468.2909412816255
7.74899019995216e-5,1487.9033094017943
7.85689804665576e-5,1507.7773418138272
7.966308554103499e-5,1527.9165171491625
8.077242647458666e-5,1548.324359778473
8.18972154327597e-5,1569.0044403924346
8.303766753559295e-5,1589.9603765893037
8.419400089875949e-5,1611.1958334688904
8.536643667528195e-5,1632.7145242333418
8.655519909782904e-5,1654.5202107944467
8.776051552160068e-5,1676.6167043877176
8.898261646781073e-5,1699.007866193193
9.022173566777472e-5,1721.697607963068
9.147811010761216e-5,1744.6898926560261
9.275198007357081e-5,1767.988735078468
9.40435891979824e-5,1791.5982025326466
9.53531845058581e-5,1815.5224154715704
9.668101646213307e-5,1839.765548160911
9.802733901956877e-5,1864.3318293478499
9.93924096673224e-5,1889.225542936771
0.0001007764894801926,1914.451028672073
0.00010217984316855093,1940.0126828277955
0.0001036027391289688,1965.9149589043893
0.00010504544949554928,1992.16236833237
0.00010650825019197376,2018.7594811830336
0.00010799142098427323,2045.7109268861927
0.00010949524553433482,2073.0213949548656
0.00011102001145415297,2100.695635716959
0.00011256601036083638,2128.738461054077
0.00011413353793238082,2157.15474514703
0.0001157228939642187,2185.9494252286086
0.000117334382426556,2215.1275023432
0.00011896831152250765,2244.6940421131135
0.00012062499374704265,2274.654175512043
0.00012230474594674976,2305.0130996453563
0.0001240078893804356,2335.7760785370383
0.00012573474978056664,2366.948443923513
0.00012748565741556664,2398.5355960541483
0.0001292609471529819,2430.5430044984796
0.00013106095852352562,2462.9762089598667
0.0001328860357860147,2495.8408200958847
0.00013473652799321023,2529.1425203449367
0.0001366127890585754,2562.8870647595186
0.0001385151778239625,2597.0802818454154
0.00014044405812824295,2631.728074407391
0.00014239979887689262,2666.8364204008108
0.00014438277411254666,2702.411373789254
0.0001463933630865362,2738.459065407858
0.00014843195033142185,2774.985703832744
0.00015049892573453668,2811.997576255437
0.00015259468461255397,2849.5010493633354
