k_over_h,P
3.3333333333333335e-5,1.5543257586573072
3.3797513585293836e-5,1.5750965997636432
3.426815773644364e-5,1.596144943755605
3.474535579921339e-5,1.6174744955187097
3.5229199039493476e-5,1.6390890092936767
3.571977999408904e-5,1.660992289329473
3.6217192488417935e-5,1.6831881905447974
3.6721531654455225e-5,1.7056806191981815
3.723289394892744e-5,1.7284735335666706
3.775137717176039e-5,1.7515709446333323
3.82770804847837e-5,1.7749769167836582
3.881010443069589e-5,1.798695568510857
3.9350550952293514e-5,1.8227310731303061
3.989852341196812e-5,1.8470876595031722
4.04541266114747e-5,1.8717696127693186
4.10174668119754e-5,1.8967812750896853
4.1588651754362335e-5,1.9221270463980378
4.216779067986346e-5,1.9478113851625432
4.2754994350935355e-5,1.9738388091569594
4.335037507244697e-5,2.0002138962416938
4.3954046713158284e-5,2.0269412851548707
4.456612472749823e-5,2.0540256763134805
4.518672617764562e-5,2.081471832624633
4.5815969755917916e-5,2.109284580307288
4.645397580747142e-5,2.137468809724235
4.7100866353317793e-5,2.1660294762248116
4.7756765113661035e-5,2.194971600998046
4.8421797531559364e-5,2.2243002719369094
4.909609079691676e-5,2.254020644513091
4.977977387080841e-5,2.2841379426630803
5.047297751014509e-5,2.3146574596852854
5.1175834292680754e-5,2.345584559148505
5.188847864236872e-5,2.376924675811481
5.261104685507057e-5,2.408683316554478
5.3343677124623354e-5,2.4408660613219375
5.408650956926958e-5,2.473478564077289
5.483968625845542e-5,2.5065265537694428
5.5603351240001964e-5,2.5400158353113365
5.6377650567654936e-5,2.57395229057055
5.7162732329018003e-5,2.6083418793722206
5.795874667387503e-5,2.643190640514379
5.876584584290687e-5,2.678504692795578
5.9584184196807835e-5,2.714290236055326
6.04139182458079e-5,2.750553552227261
6.125520667960572e-5,2.7873010064050017
6.210821039771868e-5,2.824539047921229
6.297309254025555e-5,2.862274211439633
6.385001851911759e-5,2.9005131180603554
6.47391560496342e-5,2.9392624764385364
6.564067518263909e-5,2.978529083916512
6.655474833699314e-5,3.018319827669533
6.748155033256014e-5,3.0586416858652923
6.842125842364173e-5,3.0995017288369953
6.937405233287797e-5,3.1409071202709558
7.034011428561985e-5,3.182865118407694
7.131962904478074e-5,3.2253830772575696
7.231278394617281e-5,3.2684684478305996
7.331976893433582e-5,3.312128779380673
7.434077659886461e-5,3.356371720664513
7.537600221124261e-5,3.401205021215059
7.642564376218832e-5,3.4466365326296713
7.74899019995216e-5,3.492674209873224
7.85689804665576e-5,3.5393261125963917
7.966308554103499e-5,3.586600406468431
8.077242647458666e-5,3.634505364525955
8.18972154327597e-5,3.683049368536217
8.303766753559295e-5,3.7322409103763787
8.419400089875949e-5,3.782088593427791
8.536643667528195e-5,3.8326011339862585
8.655519909782904e-5,3.883787362687618
8.776051552160068e-5,3.93565622594922
8.898261646781073e-5,3.9882167874271857
9.022173566777472e-5,4.0414782294897
9.147811010761216e-5,4.095449854706021
9.275198007357081e-5,4.150141087351695
9.40435891979824e-5,4.205561474929974
9.53531845058581e-5,4.261720689709118
9.668101646213307e-5,4.318628530276149
9.802733901956877e-5,4.376294923106884
9.93924096673224e-5,4.434729924152047
0.0001007764894801926,4.493943720440084
0.00010217984316855093,4.553946631695981
0.0001036027391289688,4.614749111976845
0.00010504544949554928,4.676361751323651
0.00010650825019197376,4.738795277429556
0.00010799142098427323,4.8020605573247055
0.00010949524553433482,4.866168599077344
0.00011102001145415297,4.931130553511363
0.00011256601036083638,4.99695771594056
0.00011413353793238082,5.063661527918632
0.0001157228939642187,5.131253579006222
0.000117334382426556,5.199745608554027
0.00011896831152250765,5.269149507501658
0.00012062499374704265,5.339477320193246
0.00012230474594674976,5.410741246209078
0.0001240078893804356,5.482953642212855
0.00012573474978056664,5.556127023815089
0.00012748565741556664,5.630274067452197
0.0001292609471529819,5.705407612281356
0.00013106095852352562,5.781540662090469
0.0001328860357860147,5.858686387223933
0.00013473652799321023,5.936858126523012
0.0001366127890585754,6.016069389281824
0.0001385151778239625,6.096333857217259
0.00014044405812824295,6.17766538645413
0.00014239979887689262,6.260078009524257
0.00014438277411254666,6.343585937379604
0.0001463933630865362,6.428203561418884
0.00014843195033142185,6.513945455528424
0.00015049892573453668,6.600826378134767
0.00015259468461255397,6.688861274271461
0.00015471962778709265,6.778065277657345
0.0001568741616613761,6.868453712787006
0.0001590586982979582,6.9600420970329075
0.00016127365549753188,7.052846142758808
0.00016351945687883494,7.146881759443531
0.00016579653195966884,7.24216505581502
0.00016810531623904533,7.338712341994294
0.0001704462512804775,7.436540131648247
0.00017281978479643037,7.535665144151102
0.00017522637073394745,7.63610430675377
0.00017766646936146963,7.737874756760392
0.00018014054735686385,7.840993843711644
0.00018264907789667628,7.9454791315739985
0.00018519254074662923,8.051348400933653
0.00018777142235337855,8.15861965119565
0.0001903862159375477,8.267311102785493
0.0001930374215880587,8.377441199354731
0.0001957255463577752,8.489028609986647
0.00019845110436047899,8.602092231404642
0.00020121461686919563,8.71665119017908
0.00020401661241589,8.83272484493349
0.0002068576268925501,8.950332788548328
0.00020973820365367818,9.06949485036169
0.00021265889362020941,9.190231098364942
0.00021562025538487752,9.312561841393425
0.00021862285531904773,9.436507631308771
0.00022166726768103735,9.56208926517381
0.00022475407472594478,9.689327787417756
0.00022788386681700794,9.818244526174974
0.0002310572425385135,9.948860924498348
0.0002342748088102783,10.08119888434119
0.00023753718100372493,10.215280426812742
0.00024084498305957384,10.351127865198611
0.00024419884760717433,10.488763772849055
0.0002475994160854972,10.628210985231476
0.0002510473388658124,10.769492601960089
